,ID,azimuth,dis,x,y,z
28613,9,42.97,2.86,1.883206154,2.021612516,0.739065231
28637,10,42.97,2.83,1.879606166,2.017747947,0.636139831
28661,11,42.97,2.76,1.846803851,1.982534823,0.525805297
28685,12,42.97,2.76,1.858045509,1.994602687,0.432234897
28709,13,42.97,2.72,1.84020978,1.975456121,0.331060538
28733,14,42.97,2.71,1.840146792,1.975388503,0.236220334
28757,15,42.97,2.71,1.844637103,1.98020883,0.142080779
28781,16,42.97,2.71,1.846908729,1.98264741,0.046231965
28432,1,42.79,2.71,1.778243653,1.921000891,-0.701216863
28456,2,42.79,2.7,1.78735392,1.93084253,-0.605981096
28480,3,42.79,2.69,1.793780811,1.93778537,-0.513262372
28504,4,42.79,2.67,1.791455665,1.935273562,-0.417495914
28528,5,42.79,2.67,1.800308837,1.944837466,-0.324646462
28552,6,42.79,2.67,1.806852813,1.951906792,-0.232900809
28576,7,42.79,2.66,1.804488053,1.949352188,-0.139459362
28600,8,42.79,2.66,1.806696558,1.951737993,-0.04654409
28624,9,42.79,2.85,1.870283391,2.02042957,0.736481087
28648,10,42.79,2.82,1.866638673,2.016492255,0.633891987
28672,11,42.79,2.76,1.840566431,1.988326936,0.525805297
28696,12,42.79,2.74,1.838351497,1.985934187,0.42910276
28720,13,42.79,2.71,1.827252004,1.973943627,0.329843404
28744,14,42.79,2.7,1.827164579,1.973849185,0.235348672
28768,15,42.79,2.7,1.831623211,1.978665755,0.141556496
28792,16,42.79,2.69,1.827086667,1.973765018,0.04589077
28420,1,42.61,2.69,1.759120919,1.912359632,-0.696041831
28444,2,42.61,2.7,1.781279189,1.93644813,-0.605981096
28468,3,42.61,2.69,1.787684237,1.943411127,-0.513262372
28492,4,42.61,2.68,1.792053761,1.948161285,-0.419059569
28516,5,42.61,2.66,1.787470262,1.943178513,-0.323430557
28540,6,42.61,2.65,1.787223333,1.942910074,-0.231156234
28564,7,42.61,2.65,1.791594354,1.947661858,-0.138935079
28588,8,42.61,2.65,1.793787079,1.950045594,-0.046369112
28612,9,42.61,2.84,1.857386711,2.019185451,0.733896942
28636,10,42.61,2.81,1.853697686,2.015175071,0.631644143
28660,11,42.61,2.75,1.827664791,1.986874426,0.523900205
28684,12,42.61,2.73,1.82541693,1.984430752,0.427536692
28708,13,42.61,2.7,1.814321959,1.972369287,0.328626269
28732,14,42.61,2.69,1.814210266,1.972247865,0.23447701
28756,15,42.61,2.69,1.818637288,1.977060528,0.141032212
28780,16,42.61,2.69,1.820876896,1.979495231,0.04589077
28431,1,42.43,2.7,1.75962151,1.92500628,-0.698629347
28455,2,42.43,2.71,1.781761644,1.949227339,-0.60822547
28479,3,42.43,2.67,1.768324145,1.934526865,-0.509446294
28503,4,42.43,2.66,1.772596803,1.939201106,-0.415932259
28527,5,42.43,2.65,1.774659946,1.941458161,-0.322214653
28551,6,42.43,2.65,1.781110691,1.948515204,-0.231156234
28575,7,42.43,2.65,1.785466763,1.953280698,-0.138935079
28599,8,42.43,2.64,1.780906132,1.948291418,-0.046194134
28623,9,42.43,2.83,1.844516372,2.01788031,0.731312798
28647,10,42.43,2.81,1.847357689,2.02098868,0.631644143
28671,11,42.43,2.74,1.814790509,1.985360549,0.521995114
28695,12,42.43,2.73,1.819173659,1.990155666,0.427536692
28719,13,42.43,2.7,1.808116635,1.978059405,0.328626269
28743,14,42.43,2.67,1.794562906,1.963231777,0.232733687
28767,15,42.43,2.67,1.798941983,1.968022439,0.139983646
28791,16,42.43,2.68,1.807903245,1.977825959,0.045720172
28419,1,42.25,2.7,1.753565251,1.930524785,-0.698629347
28443,2,42.25,2.68,1.755972772,1.933175259,-0.601492347
28467,3,42.25,2.65,1.749037649,1.925540284,-0.505630217
28491,4,42.25,2.65,1.759854924,1.937449175,-0.414368604
28515,5,42.25,2.65,1.768551928,1.94702383,-0.322214653
28539,6,42.25,2.64,1.768282431,1.946727137,-0.230283946
28563,7,42.25,2.63,1.765892708,1.944096257,-0.137886512
28587,8,42.25,2.64,1.774776616,1.953876676,-0.046194134
28611,9,42.25,2.82,1.831672629,2.016514302,0.728728654
28635,10,42.25,2.8,1.834447861,2.019569594,0.629396299
28659,11,42.25,2.73,1.801943843,1.983785461,0.520090022
28683,12,42.25,2.73,1.812912434,1.995860938,0.427536692
28707,13,42.25,2.69,1.795219786,1.976382852,0.327409135
28731,14,42.25,2.67,1.788386386,1.968859865,0.232733687
28755,15,42.25,2.68,1.799464812,1.981056261,0.140507929
28779,16,42.25,2.67,1.79495812,1.976094781,0.045549575
28430,1,42.07,2.69,1.741019493,1.928853777,-0.696041831
28454,2,42.07,2.68,1.749890867,1.938682261,-0.601492347
28478,3,42.07,2.66,1.749557047,1.938312426,-0.507538256
28502,4,42.07,2.64,1.747141613,1.935636396,-0.412804949
28526,5,42.07,2.63,1.749125123,1.937833903,-0.319782844
28550,6,42.07,2.63,1.755483051,1.944877772,-0.229411658
28574,7,42.07,2.63,1.759776445,1.949634369,-0.137886512
28598,8,42.07,2.64,1.768629583,1.95944265,-0.046194134
28622,9,42.07,2.81,1.818855737,2.015087581,0.72614451
28646,10,42.07,2.79,1.821565246,2.018089411,0.627148455
28670,11,42.07,2.73,1.795702715,1.989436636,0.520090022
28694,12,42.07,2.72,1.800015611,1.99421484,0.425970623
28718,13,42.07,2.69,1.789001947,1.982012939,0.327409135
28742,14,42.07,2.66,1.775517338,1.967073508,0.231862025
28766,15,42.07,2.67,1.786541106,1.979286603,0.139983646
28790,16,42.07,2.66,1.782041783,1.97430186,0.045378977
28418,1,41.89,2.68,1.728501606,1.927123066,-0.693454315
28442,2,41.89,2.67,1.737285006,1.936915763,-0.599247973
28466,3,41.89,2.67,1.750013392,1.951106763,-0.509446294
28490,4,41.89,2.65,1.747646914,1.948468353,-0.414368604
28514,5,41.89,2.63,1.743028617,1.94331937,-0.319782844
28538,6,41.89,2.63,1.749364385,1.950383178,-0.229411658
28562,7,41.89,2.62,1.74697497,1.947719197,-0.137362229
28586,8,41.89,2.62,1.749113086,1.950103003,-0.045844179
28610,9,41.89,2.8,1.806065952,2.013600301,0.723560366
28634,10,41.89,2.79,1.815216252,2.023802059,0.627148455
28658,11,41.89,2.71,1.776334386,1.980452292,0.516279839
28682,12,41.89,2.7,1.780552451,1.985155053,0.422838486
28706,13,41.89,2.68,1.776139067,1.980234529,0.326192001
28730,14,41.89,2.67,1.775980454,1.98005769,0.232733687
28754,15,41.89,2.64,1.760310657,1.962587283,0.138410796
28778,16,41.89,2.66,1.775830547,1.979890557,0.045378977
28429,1,41.71,2.67,1.71601184,1.92533281,-0.690866799
28453,2,41.71,2.66,1.72470758,1.935089266,-0.597003598
28477,3,41.71,2.65,1.730812448,1.941938813,-0.505630217
28501,4,41.71,2.63,1.728373481,1.939202338,-0.411241294
28525,5,41.71,2.63,1.736914908,1.948785657,-0.319782844
28549,6,41.71,2.62,1.736600207,1.948432569,-0.228539371
28573,7,41.71,2.62,1.740847419,1.95319786,-0.137362229
28597,8,41.71,2.61,1.736325448,1.948124294,-0.045669201
28621,9,41.71,2.79,1.793303527,2.012052621,0.720976222
28645,10,41.71,2.78,1.802366012,2.022220558,0.624900611
28669,11,41.71,2.71,1.770103856,1.986023028,0.516279839
28693,12,41.71,2.69,1.767735618,1.983365911,0.421272418
28717,13,41.71,2.66,1.756700945,1.970985216,0.323757732
28741,14,41.71,2.64,1.749866321,1.963316898,0.230118702
